address,latitude,longitude,city,state,postal_code,price,price_sqft,#bedrooms,#bathrooms,sqft,url
4944 Rapahoe Trl # 30,33.622657,-84.553147,ATLANTA,GA,30349,178000,76,4,3,2330,https://www.zillow.com/homedetails/4944-Rapahoe-Trl-30-Atlanta-GA-30349/88814785_zpid/
4945 Cascade Hills Cir SW,33.722736,-84.56199,ATLANTA,GA,30331,200000,85,4,3,2333,https://www.zillow.com/homedetails/4945-Cascade-Hills-Cir-SW-Atlanta-GA-30331/65463144_zpid/
4945 Village Creek Dr,33.943002,-84.310854,ATLANTA,GA,30338,460000,161,4,3,2846,https://www.zillow.com/homedetails/4945-Village-Creek-Dr-Atlanta-GA-30338/14582903_zpid/
4946 Rapahoe Trl # 29,33.622546,-84.553239,ATLANTA,GA,30349,189900,83,4,2.5,2275,https://www.zillow.com/homedetails/4946-Rapahoe-Trl-29-Atlanta-GA-30349/112432921_zpid/
4946 Vermack Rd,33.942948,-84.316533,ATLANTA,GA,30338,450000,137,4,4,3280,https://www.zillow.com/homedetails/4946-Vermack-Rd-Atlanta-GA-30338/14582786_zpid/
4946 Village Creek Dr,33.942998,-84.3116,Dunwoody,GA,30338,550000,189,5,3,2908,https://www.zillow.com/homedetails/4946-Village-Creek-Dr-Dunwoody-GA-30338/14582841_zpid/
4948 Buckline Xing,33.933338,-84.322039,Dunwoody,GA,30338,567000,144,4,3.5,3932,https://www.zillow.com/homedetails/4948-Buckline-Xing-Dunwoody-GA-30338/14580572_zpid/
4949 Antelope Cv,33.629633,-84.547178,ATLANTA,GA,30349,160000,78,3,3,2039,https://www.zillow.com/homedetails/4949-Antelope-Cv-Atlanta-GA-30349/82630124_zpid/
495 Ansley Ct NE,33.80094,-84.370939,Atlanta,GA,30324,585000,264,3,4,2212,https://www.zillow.com/homedetails/495-Ansley-Ct-NE-Atlanta-GA-30324/2093829434_zpid/
495 E Ontario Ave SW,33.741655,-84.438598,ATLANTA,GA,30310,175000,58,5,4,2980,https://www.zillow.com/homedetails/495-E-Ontario-Ave-SW-Atlanta-GA-30310/35846967_zpid/
495 Kelly St SE,33.741179,-84.38082,ATLANTA,GA,30312,334000,288,2,1,1156,https://www.zillow.com/homedetails/495-Kelly-St-SE-Atlanta-GA-30312/35881972_zpid/
495 Old Creek Rd,33.878306,-84.370875,ATLANTA,GA,30342,605000,283,3,2,2136,https://www.zillow.com/homedetails/495-Old-Creek-Rd-Atlanta-GA-30342/35934611_zpid/
495 Pine Forest Rd,33.879332,-84.371285,Sandy springs,GA,30342,635000,286,4,3,2219,https://www.zillow.com/homedetails/495-Pine-Forest-Rd-Sandy-Springs-GA-30342/35934404_zpid/
495 Wilson Mill Rd SW,33.749286,-84.517225,ATLANTA,GA,30331,70500,67,3,2,1050,https://www.zillow.com/homedetails/495-Wilson-Mill-Rd-SW-Atlanta-GA-30331/35873929_zpid/
4950 Ivy Ridge Dr SE UNIT 101,33.842962,-84.482747,Atlanta,GA,30339,279900,163,2,2,1709,https://www.zillow.com/homedetails/4950-Ivy-Ridge-Dr-SE-UNIT-101-Atlanta-GA-30339/2102831697_zpid/
4951 Leeds Ct,33.943274,-84.318542,Dunwoody,GA,30338,525000,218,4,3,2400,https://www.zillow.com/homedetails/4951-Leeds-Ct-Dunwoody-GA-30338/14582776_zpid/
4955 Ivy Ridge Dr SE,33.843388,-84.483272,ATLANTA,GA,30339,260000,68,4,3.5,3780,https://www.zillow.com/homedetails/4955-Ivy-Ridge-Dr-SE-Atlanta-GA-30339/61951340_zpid/
4955 Ivy Ridge Dr SE UNIT 205,33.843388,-84.48328,Atlanta,GA,30339,260000,182,2,2,1425,https://www.zillow.com/homedetails/4955-Ivy-Ridge-Dr-SE-UNIT-205-Atlanta-GA-30339/2094062984_zpid/
4955 Ivy Ridge Dr SE UNIT 401,33.843388,-84.483272,Atlanta,GA,30339,305000,177,3,2.5,1723,https://www.zillow.com/homedetails/4955-Ivy-Ridge-Dr-SE-UNIT-401-Atlanta-GA-30339/2093989693_zpid/
4958 Cambridge Dr,33.942548,-84.321699,ATLANTA,GA,30338,725000,110,6,6,6543,https://www.zillow.com/homedetails/4958-Cambridge-Dr-Atlanta-GA-30338/14583086_zpid/
4959 Wewatta St SW,33.65897,-84.550079,ATLANTA,GA,30331,232000,61,6,4,3796,https://www.zillow.com/homedetails/4959-Wewatta-St-SW-Atlanta-GA-30331/82623622_zpid/
4959 Wolfcreek Vw,33.627464,-84.554492,College Park,GA,30349,123500,100,3,3,1230,https://www.zillow.com/homedetails/4959-Wolfcreek-Vw-College-Park-GA-30349/69369880_zpid/
496 Broadland Rd NW,33.864709,-84.403148,ATLANTA,GA,30342,1740000,311,5,7,5589,https://www.zillow.com/homedetails/496-Broadland-Rd-NW-Atlanta-GA-30342/35906975_zpid/
496 Morgan St Ne,33.769128,-84.370478,Atlanta,GA,30308,549900,219,3,4,2500,https://www.zillow.com/homedetails/496-Morgan-St-Ne-Atlanta-GA-30308/2093006383_zpid/
4961 Colchester Ct,33.832652,-84.481124,Smyrna,GA,30080,335000,178,3,3.5,1872,https://www.zillow.com/homedetails/4961-Colchester-Ct-Smyrna-GA-30080/80428372_zpid/
4961 Colchester Ct SE,33.832668,-84.481449,Atlanta,GA,30339,335000,142,4,4,2352,https://www.zillow.com/homedetails/4961-Colchester-Ct-SE-Atlanta-GA-30339/2091493915_zpid/
4963 Wolfcreek Vw,33.627184,-84.554497,COLLEGE PARK,GA,30349,139700,77,4,3,1809,https://www.zillow.com/homedetails/4963-Wolfcreek-Vw-College-Park-GA-30349/69371207_zpid/
4967 Warmstone Way SE # 16,33.834804,-84.486729,Atlanta,GA,30339,250000,132,3,2.5,1888,https://www.zillow.com/homedetails/4967-Warmstone-Way-SE-16-Atlanta-GA-30339/60156891_zpid/
497 Bolton Rd NW,33.767998,-84.508589,ATLANTA,GA,30331,42500,48,3,1,875,https://www.zillow.com/homedetails/497-Bolton-Rd-NW-Atlanta-GA-30331/35847849_zpid/
497 Boulevard SE,33.740907,-84.368565,ATLANTA,GA,30312,375000,468,1,1,800,https://www.zillow.com/homedetails/497-Boulevard-SE-Atlanta-GA-30312/35878258_zpid/
4970 Warmstone Way SE,33.833605,-84.484965,Atlanta,GA,30339,254900,109,3,4,2328,https://www.zillow.com/homedetails/4970-Warmstone-Way-SE-Atlanta-GA-30339/2102467050_zpid/
