title,address,latitude,longitude,city,state,postal_code,price,#bedrooms,#bathrooms,sqft,real estate provider,url
House For Sale,4318 Rainer Dr,33.63773,-84.569007,Atlanta,GA,30349,"$249,900 ",4,3,"2,760",Solid Source Realty GA,https://www.zillow.com/homedetails/4318-Rainer-Dr-Atlanta-GA-30349/82622731_zpid/
House For Sale,5802 Jamerson Dr,33.639051,-84.568496,Atlanta,GA,30349,"$293,000 ",6,4,"3,744",Jeff Justice & Co. Realtors,https://www.zillow.com/homedetails/5802-Jamerson-Dr-Atlanta-GA-30349/88814664_zpid/
House For Sale,334 Amy Way,33.64013,-84.546621,Atlanta,GA,30349,"$459,900 ",4,5,"3,917",,https://www.zillow.com/homedetails/334-Amy-Way-Atlanta-GA-30349/82613353_zpid/
House For Sale,535 Mica Trce,33.58126,-84.476142,Atlanta,GA,30349,"$129,900 ",4,3,"1,500",The Brinkley Realty Group LLC,https://www.zillow.com/homedetails/535-Mica-Trce-Atlanta-GA-30349/65460240_zpid/
New Construction,4521 Creekside Cv,33.630343,-84.540346,Atlanta,GA,30349,"$268,990 ",5,3,"3,151",,https://www.zillow.com/homedetails/4521-Creekside-Cv-Atlanta-GA-30349/2128847266_zpid/
For Sale by Owner,1527 Pine Dr,33.602684,-84.439487,College Park,GA,30349,"$115,000 ",4,3,"1,095",,https://www.zillow.com/homedetails/1527-Pine-Dr-College-Park-GA-30349/35797622_zpid/
New Construction,516 Dasheill Ln,33.62064,-84.55203,Atlanta,GA,30349,"$196,150 ",3,3,"1,950",,https://www.zillow.com/homedetails/516-Dasheill-Ln-Atlanta-GA-30349/2091851882_zpid/
House For Sale,5595 Buffington Rd,33.603563,-84.500589,Atlanta,GA,30349,"$101,500 ",3,2,"1,626",Virtual Properties Realty.com,https://www.zillow.com/homedetails/5595-Buffington-Rd-Atlanta-GA-30349/35828045_zpid/
New Construction,3882 Lake Sanctuary Way # 312,33.648996,-84.530269,Atlanta,GA,30349,"$320,561 ",5,5,"4,076",MERITAGE HOMES OF GEORGIA INC,https://www.zillow.com/homedetails/3882-Lake-Sanctuary-Way-312-Atlanta-GA-30349/2091874653_zpid/
House For Sale,5970 Red Oak Rd,33.593222,-84.495424,College Park,GA,30349,"$190,000 ",6,3,"2,563",Green Wholesaling & RE Service,https://www.zillow.com/homedetails/5970-Red-Oak-Rd-College-Park-GA-30349/35828105_zpid/
House For Sale,5890 Bearing Way,33.596142,-84.510522,College Park,GA,30349,"$185,000 ",4,3,"2,842",eXp Realty Associates LLC,https://www.zillow.com/homedetails/5890-Bearing-Way-College-Park-GA-30349/35956975_zpid/
Condo For Sale,930 Silverwood Dr,33.599649,-84.420012,Atlanta,GA,30349,"$65,000 ",3,3,"1,276",SoldByJones Realty Inc.,https://www.zillow.com/homedetails/930-Silverwood-Dr-Atlanta-GA-30349/35797367_zpid/
